Time : 02/07/2017 18:17:56
6.737763 INFO Has hit Foe.
7.536969 INFO Has hit Foe.
8.803196 INFO Has hit Foe.
10.64476 INFO Has hit Foe.
12.12818 INFO Has hit Foe.
12.24649 INFO Has hit Foe.
13.76342 INFO Has hit Foe.
13.8832 INFO Has hit Foe.
15.76778 INFO Has hit Foe.
15.76782 INFO Has hit Foe.
16.73732 INFO Has hit Foe.
16.82172 INFO Has hit Foe.
16.82179 INFO Has hit Foe.
16.92292 INFO Has hit Foe.
21.53116 INFO Has hit Foe.
21.66669 INFO Has hit Foe.
21.66674 INFO Has hit Foe.
21.71623 INFO Has hit Foe.
21.75048 INFO Has hit Foe.
21.8157 INFO Has hit Foe.
Time : 02/07/2017 18:19:00 logfile now closed.
