Time : 2/1/2017 10:13:44 PM
1.444505 INFO Goes into Track mode.
4.359267 INFO Has hit NightHunter_AI_1_A.
5.536385 INFO Missed a shot.
5.536409 INFO Missed a shot.
5.751358 INFO Missed a shot.
5.751386 INFO Missed a shot.
5.800514 INFO Has hit NightHunter_AI_1_A.
5.800547 INFO Has hit NightHunter_AI_1_A.
5.966143 INFO Has hit NightHunter_AI_1_A.
5.967137 INFO Missed a shot.
5.967159 INFO Missed a shot.
6.181727 INFO Has hit NightHunter_AI_1_A.
6.182751 INFO Missed a shot.
6.182766 INFO Missed a shot.
6.414436 INFO Missed a shot.
6.414463 INFO Missed a shot.
7.342102 INFO Missed a shot.
7.342134 INFO Missed a shot.
7.557553 INFO Missed a shot.
7.557577 INFO Missed a shot.
7.772427 INFO Missed a shot.
7.772451 INFO Missed a shot.
7.987351 INFO Has hit NightHunter_AI_1_A.
9.065394 INFO Missed a shot.
9.065417 INFO Missed a shot.
9.296117 INFO Has hit NightHunter_AI_1_A.
9.727823 INFO Missed a shot.
9.727847 INFO Missed a shot.
11.05268 INFO Missed a shot.
11.05271 INFO Missed a shot.
13.36152 INFO Shots : 22. Precision : 31.81818 %.
Time : 2/1/2017 10:13:56 PM logfile now closed.
