Time : 2/2/2017 1:58:06 AM
1.482723 INFO Goes into Track mode.
3.494667 INFO Goes into Escape mode.
3.511119 INFO Goes into Track mode.
3.511132 INFO Goes into Escape mode.
3.544307 INFO Goes into Track mode.
3.54432 INFO Goes into Escape mode.
3.560812 INFO Goes into Track mode.
3.560823 INFO Goes into Escape mode.
3.577436 INFO Goes into Track mode.
3.577458 INFO Goes into Escape mode.
3.594171 INFO Goes into Track mode.
3.594183 INFO Goes into Escape mode.
3.610559 INFO Goes into Track mode.
3.610571 INFO Goes into Escape mode.
3.643643 INFO Goes into Track mode.
3.643656 INFO Goes into Escape mode.
3.660277 INFO Goes into Track mode.
3.66029 INFO Goes into Escape mode.
3.676768 INFO Goes into Track mode.
3.676781 INFO Goes into Escape mode.
3.693408 INFO Goes into Track mode.
3.69342 INFO Goes into Escape mode.
3.709906 INFO Goes into Track mode.
3.709917 INFO Goes into Escape mode.
3.743088 INFO Goes into Track mode.
3.743101 INFO Goes into Escape mode.
3.759827 INFO Goes into Track mode.
3.759839 INFO Goes into Escape mode.
3.776252 INFO Goes into Track mode.
3.776265 INFO Goes into Escape mode.
3.792812 INFO Goes into Track mode.
3.792825 INFO Goes into Escape mode.
3.809294 INFO Goes into Track mode.
3.809307 INFO Goes into Escape mode.
3.842432 INFO Goes into Track mode.
3.842445 INFO Goes into Escape mode.
3.859099 INFO Goes into Track mode.
3.859111 INFO Goes into Escape mode.
3.87569 INFO Goes into Track mode.
3.875704 INFO Goes into Escape mode.
3.892191 INFO Goes into Track mode.
3.892203 INFO Goes into Escape mode.
3.925557 INFO Goes into Track mode.
3.925569 INFO Goes into Escape mode.
3.941989 INFO Goes into Track mode.
3.942001 INFO Goes into Escape mode.
3.958596 INFO Goes into Track mode.
3.958608 INFO Goes into Escape mode.
3.975039 INFO Goes into Track mode.
3.975051 INFO Goes into Escape mode.
3.991662 INFO Goes into Track mode.
3.991674 INFO Goes into Escape mode.
4.024802 INFO Goes into Track mode.
4.024814 INFO Goes into Escape mode.
4.041329 INFO Goes into Track mode.
4.041341 INFO Goes into Escape mode.
4.057932 INFO Goes into Track mode.
4.057944 INFO Goes into Escape mode.
4.074507 INFO Goes into Track mode.
4.074519 INFO Goes into Escape mode.
4.091255 INFO Goes into Track mode.
4.091267 INFO Goes into Escape mode.
4.124183 INFO Goes into Track mode.
4.124195 INFO Goes into Escape mode.
4.140824 INFO Goes into Track mode.
4.140836 INFO Goes into Escape mode.
4.157355 INFO Goes into Track mode.
4.157367 INFO Goes into Escape mode.
4.173862 INFO Goes into Track mode.
4.173873 INFO Goes into Escape mode.
4.190389 INFO Goes into Track mode.
4.190401 INFO Goes into Escape mode.
4.223535 INFO Goes into Track mode.
4.223547 INFO Goes into Escape mode.
4.240172 INFO Goes into Track mode.
4.240184 INFO Goes into Escape mode.
4.256866 INFO Goes into Track mode.
4.256877 INFO Goes into Escape mode.
4.273259 INFO Goes into Track mode.
4.273271 INFO Goes into Escape mode.
4.289893 INFO Goes into Track mode.
4.289906 INFO Goes into Escape mode.
4.32303 INFO Goes into Track mode.
4.323043 INFO Goes into Escape mode.
4.339552 INFO Goes into Track mode.
4.339568 INFO Goes into Escape mode.
4.35615 INFO Goes into Track mode.
