Time : 2/2/2017 1:58:06 AM
1.484039 INFO Goes into Track mode.
3.942088 INFO Goes into Escape mode.
3.958696 INFO Goes into Track mode.
3.958726 INFO Goes into Escape mode.
3.975134 INFO Goes into Track mode.
3.975146 INFO Goes into Escape mode.
3.991758 INFO Goes into Track mode.
3.99177 INFO Goes into Escape mode.
4.024898 INFO Goes into Track mode.
4.024909 INFO Goes into Escape mode.
4.041425 INFO Goes into Track mode.
4.041438 INFO Goes into Escape mode.
4.058027 INFO Goes into Track mode.
4.05804 INFO Goes into Escape mode.
4.074604 INFO Goes into Track mode.
4.074617 INFO Goes into Escape mode.
4.091357 INFO Goes into Track mode.
4.09137 INFO Goes into Escape mode.
4.12429 INFO Goes into Track mode.
4.124303 INFO Goes into Escape mode.
4.140931 INFO Goes into Track mode.
4.140943 INFO Goes into Escape mode.
4.157457 INFO Goes into Track mode.
4.157473 INFO Goes into Escape mode.
4.173958 INFO Goes into Track mode.
4.17397 INFO Goes into Escape mode.
4.190479 INFO Goes into Track mode.
4.19049 INFO Goes into Escape mode.
4.223794 INFO Goes into Dodge mode.
4.754431 INFO Has hit obstacle
5.565651 INFO Goes into Track mode.
5.565665 INFO Goes into Escape mode.
5.582404 INFO Goes into Track mode.
5.582416 INFO Goes into Escape mode.
5.598674 INFO Goes into Track mode.
5.598696 INFO Goes into Escape mode.
5.615341 INFO Goes into Track mode.
5.615353 INFO Goes into Escape mode.
5.631881 INFO Goes into Track mode.
5.631892 INFO Goes into Escape mode.
5.664968 INFO Goes into Track mode.
5.66498 INFO Goes into Escape mode.
5.68227 INFO Goes into Track mode.
5.682282 INFO Goes into Escape mode.
5.698156 INFO Goes into Track mode.
5.698168 INFO Goes into Escape mode.
5.714734 INFO Goes into Track mode.
5.714745 INFO Goes into Escape mode.
5.731466 INFO Goes into Track mode.
5.731478 INFO Goes into Escape mode.
5.764445 INFO Goes into Track mode.
5.764457 INFO Goes into Escape mode.
5.780998 INFO Goes into Track mode.
5.78101 INFO Goes into Escape mode.
5.797564 INFO Goes into Track mode.
5.797575 INFO Goes into Escape mode.
5.814024 INFO Goes into Track mode.
5.814036 INFO Goes into Escape mode.
5.830707 INFO Goes into Track mode.
5.830719 INFO Goes into Escape mode.
5.863831 INFO Goes into Track mode.
5.863842 INFO Goes into Escape mode.
5.880371 INFO Goes into Track mode.
5.880383 INFO Goes into Escape mode.
5.897064 INFO Goes into Track mode.
5.897076 INFO Goes into Escape mode.
5.913527 INFO Goes into Track mode.
5.913538 INFO Goes into Escape mode.
5.93 INFO Goes into Track mode.
5.930011 INFO Goes into Escape mode.
