Time : 2/2/2017 4:02:55 AM
1.48444 INFO Goes into Track mode.
13.02937 INFO Goes into Escape mode.
13.04596 INFO Goes into Track mode.
13.04597 INFO Goes into Escape mode.
13.06263 INFO Goes into Track mode.
13.06265 INFO Goes into Escape mode.
13.07909 INFO Goes into Track mode.
13.0791 INFO Goes into Escape mode.
13.11222 INFO Goes into Track mode.
13.11223 INFO Goes into Escape mode.
13.12881 INFO Goes into Track mode.
13.12882 INFO Goes into Escape mode.
13.14538 INFO Goes into Track mode.
13.14539 INFO Goes into Escape mode.
13.16192 INFO Goes into Track mode.
13.16193 INFO Goes into Escape mode.
13.17847 INFO Goes into Track mode.
13.17849 INFO Goes into Escape mode.
13.21164 INFO Goes into Track mode.
13.21165 INFO Goes into Escape mode.
13.22828 INFO Goes into Track mode.
13.2283 INFO Goes into Escape mode.
13.24475 INFO Goes into Track mode.
13.24476 INFO Goes into Escape mode.
13.26137 INFO Goes into Track mode.
13.26138 INFO Goes into Escape mode.
13.27792 INFO Goes into Track mode.
13.27793 INFO Goes into Escape mode.
13.31103 INFO Goes into Track mode.
13.31104 INFO Goes into Escape mode.
13.32759 INFO Goes into Track mode.
13.32762 INFO Goes into Escape mode.
13.34414 INFO Goes into Track mode.
13.34416 INFO Goes into Escape mode.
13.36073 INFO Goes into Track mode.
13.36075 INFO Goes into Escape mode.
13.37729 INFO Goes into Track mode.
13.3773 INFO Goes into Escape mode.
13.41049 INFO Goes into Track mode.
13.4105 INFO Goes into Escape mode.
13.42698 INFO Goes into Track mode.
13.42699 INFO Goes into Escape mode.
13.44357 INFO Goes into Track mode.
13.44359 INFO Goes into Escape mode.
13.46013 INFO Goes into Track mode.
13.46015 INFO Goes into Escape mode.
13.47672 INFO Goes into Track mode.
13.47674 INFO Goes into Escape mode.
13.50986 INFO Goes into Track mode.
13.50987 INFO Goes into Escape mode.
13.52639 INFO Goes into Track mode.
13.5264 INFO Goes into Escape mode.
13.54295 INFO Goes into Track mode.
13.54297 INFO Goes into Escape mode.
13.55956 INFO Goes into Track mode.
13.55957 INFO Goes into Escape mode.
13.5761 INFO Goes into Track mode.
13.57611 INFO Goes into Escape mode.
