Time : 2/2/2017 3:59:04 AM
1.443251 INFO Goes into Track mode.
4.808103 INFO Goes into Escape mode.
4.824634 INFO Goes into Track mode.
4.824646 INFO Goes into Escape mode.
4.857989 INFO Goes into Track mode.
4.858002 INFO Goes into Escape mode.
4.874372 INFO Goes into Track mode.
4.874384 INFO Goes into Escape mode.
4.890893 INFO Goes into Track mode.
4.890904 INFO Goes into Escape mode.
4.907468 INFO Goes into Track mode.
4.907482 INFO Goes into Escape mode.
4.924103 INFO Goes into Track mode.
4.924116 INFO Goes into Escape mode.
4.957177 INFO Goes into Track mode.
4.957192 INFO Goes into Escape mode.
4.973789 INFO Goes into Track mode.
4.973804 INFO Goes into Escape mode.
4.990305 INFO Goes into Track mode.
4.99032 INFO Goes into Escape mode.
5.006871 INFO Goes into Track mode.
5.006883 INFO Goes into Escape mode.
5.040009 INFO Goes into Track mode.
5.04002 INFO Goes into Escape mode.
5.056551 INFO Goes into Track mode.
5.056562 INFO Goes into Escape mode.
5.07316 INFO Goes into Track mode.
5.073172 INFO Goes into Escape mode.
5.089695 INFO Goes into Track mode.
5.089707 INFO Goes into Escape mode.
5.106272 INFO Goes into Track mode.
5.106284 INFO Goes into Escape mode.
5.139455 INFO Goes into Track mode.
5.139466 INFO Goes into Escape mode.
5.155996 INFO Goes into Track mode.
5.156008 INFO Goes into Escape mode.
5.172591 INFO Goes into Track mode.
5.172603 INFO Goes into Escape mode.
5.18937 INFO Goes into Track mode.
5.189383 INFO Goes into Escape mode.
5.2057 INFO Goes into Track mode.
5.205713 INFO Goes into Escape mode.
5.238821 INFO Goes into Track mode.
5.238832 INFO Goes into Escape mode.
5.25539 INFO Goes into Track mode.
5.255403 INFO Goes into Escape mode.
5.27196 INFO Goes into Track mode.
5.271973 INFO Goes into Escape mode.
5.288533 INFO Goes into Track mode.
5.288545 INFO Goes into Escape mode.
5.305191 INFO Goes into Track mode.
5.305203 INFO Goes into Escape mode.
5.33822 INFO Goes into Track mode.
5.338248 INFO Goes into Escape mode.
5.355035 INFO Goes into Track mode.
5.355047 INFO Goes into Escape mode.
5.371368 INFO Goes into Track mode.
5.37138 INFO Goes into Escape mode.
5.387929 INFO Goes into Track mode.
5.387942 INFO Goes into Escape mode.
5.404507 INFO Goes into Track mode.
5.404519 INFO Goes into Escape mode.
5.437705 INFO Goes into Track mode.
5.437716 INFO Goes into Escape mode.
5.45422 INFO Goes into Track mode.
5.454232 INFO Goes into Escape mode.
5.470832 INFO Goes into Track mode.
5.470845 INFO Goes into Escape mode.
5.487335 INFO Goes into Track mode.
5.487349 INFO Goes into Escape mode.
5.52077 INFO Goes into Track mode.
5.520781 INFO Goes into Escape mode.
5.537059 INFO Goes into Track mode.
5.537071 INFO Goes into Escape mode.
5.553586 INFO Goes into Track mode.
5.553598 INFO Goes into Escape mode.
5.57015 INFO Goes into Track mode.
5.570161 INFO Goes into Escape mode.
5.586739 INFO Goes into Track mode.
5.58675 INFO Goes into Escape mode.
5.619867 INFO Goes into Track mode.
5.619878 INFO Goes into Escape mode.
5.63643 INFO Goes into Track mode.
5.636442 INFO Goes into Escape mode.
5.653013 INFO Goes into Track mode.
5.653024 INFO Goes into Escape mode.
5.669593 INFO Goes into Track mode.
5.669606 INFO Goes into Escape mode.
5.686394 INFO Goes into Track mode.
5.686406 INFO Goes into Escape mode.
5.71929 INFO Goes into Track mode.
5.719302 INFO Goes into Escape mode.
5.735831 INFO Goes into Track mode.
5.735842 INFO Goes into Escape mode.
5.752408 INFO Goes into Track mode.
5.752421 INFO Goes into Escape mode.
5.768969 INFO Goes into Track mode.
5.768981 INFO Goes into Escape mode.
5.78555 INFO Goes into Track mode.
5.785562 INFO Goes into Escape mode.
5.818726 INFO Goes into Track mode.
5.818738 INFO Goes into Escape mode.
5.835237 INFO Goes into Track mode.
5.835268 INFO Goes into Escape mode.
5.852031 INFO Goes into Track mode.
5.852042 INFO Goes into Escape mode.
5.868378 INFO Goes into Track mode.
5.86839 INFO Goes into Escape mode.
5.884933 INFO Goes into Track mode.
5.885013 INFO Goes into Escape mode.
5.918109 INFO Goes into Track mode.
5.918121 INFO Goes into Escape mode.
5.934605 INFO Goes into Track mode.
5.934617 INFO Goes into Escape mode.
5.951166 INFO Goes into Track mode.
5.951178 INFO Goes into Escape mode.
5.967745 INFO Goes into Track mode.
5.967759 INFO Goes into Escape mode.
5.984313 INFO Goes into Track mode.
5.984328 INFO Goes into Escape mode.
6.017715 INFO Goes into Track mode.
6.017728 INFO Goes into Escape mode.
6.03401 INFO Goes into Track mode.
6.034023 INFO Goes into Escape mode.
6.050576 INFO Goes into Track mode.
6.050589 INFO Goes into Escape mode.
6.067158 INFO Goes into Track mode.
6.06717 INFO Goes into Escape mode.
6.10028 INFO Goes into Track mode.
6.100292 INFO Goes into Escape mode.
6.116836 INFO Goes into Track mode.
6.116848 INFO Goes into Escape mode.
6.133415 INFO Goes into Track mode.
6.133427 INFO Goes into Escape mode.
6.149986 INFO Goes into Track mode.
6.149997 INFO Goes into Escape mode.
6.166562 INFO Goes into Track mode.
6.166573 INFO Goes into Escape mode.
6.199714 INFO Goes into Track mode.
6.199726 INFO Goes into Escape mode.
6.216322 INFO Goes into Track mode.
6.216334 INFO Goes into Escape mode.
6.232804 INFO Goes into Track mode.
6.232817 INFO Goes into Escape mode.
6.249356 INFO Goes into Track mode.
6.249372 INFO Goes into Escape mode.
6.265926 INFO Goes into Track mode.
6.265944 INFO Goes into Escape mode.
6.299082 INFO Goes into Track mode.
6.299102 INFO Goes into Escape mode.
6.315633 INFO Goes into Track mode.
6.315652 INFO Goes into Escape mode.
6.332196 INFO Goes into Track mode.
9.33614 INFO Goes into Dodge mode.
10.22488 INFO Goes into Track mode.
13.13241 INFO Goes into Escape mode.
13.1492 INFO Goes into Track mode.
13.14922 INFO Goes into Escape mode.
13.16554 INFO Goes into Track mode.
13.16556 INFO Goes into Escape mode.
13.19894 INFO Goes into Track mode.
13.19895 INFO Goes into Escape mode.
13.21525 INFO Goes into Track mode.
13.21527 INFO Goes into Escape mode.
13.2318 INFO Goes into Track mode.
13.23182 INFO Goes into Escape mode.
13.24837 INFO Goes into Track mode.
13.24839 INFO Goes into Escape mode.
13.265 INFO Goes into Track mode.
13.26501 INFO Goes into Escape mode.
13.29815 INFO Goes into Track mode.
13.29817 INFO Goes into Escape mode.
13.31466 INFO Goes into Track mode.
13.31468 INFO Goes into Escape mode.
13.33121 INFO Goes into Track mode.
13.33122 INFO Goes into Escape mode.
13.34778 INFO Goes into Track mode.
13.3478 INFO Goes into Escape mode.
13.36467 INFO Goes into Track mode.
13.36469 INFO Goes into Escape mode.
13.39751 INFO Goes into Track mode.
13.39753 INFO Goes into Escape mode.
13.41406 INFO Goes into Track mode.
13.41408 INFO Goes into Escape mode.
13.43063 INFO Goes into Track mode.
13.43065 INFO Goes into Escape mode.
13.44719 INFO Goes into Track mode.
13.44721 INFO Goes into Escape mode.
13.48033 INFO Goes into Track mode.
13.48035 INFO Goes into Escape mode.
13.49689 INFO Goes into Track mode.
13.4969 INFO Goes into Escape mode.
13.51351 INFO Goes into Track mode.
13.51353 INFO Goes into Escape mode.
13.5303 INFO Goes into Track mode.
13.53032 INFO Goes into Escape mode.
13.54659 INFO Goes into Track mode.
13.54662 INFO Goes into Escape mode.
13.57975 INFO Goes into Track mode.
13.57977 INFO Goes into Escape mode.
13.59631 INFO Goes into Track mode.
13.59633 INFO Goes into Escape mode.
13.61288 INFO Goes into Track mode.
13.6129 INFO Goes into Escape mode.
13.62944 INFO Goes into Track mode.
13.62946 INFO Goes into Escape mode.
13.64604 INFO Goes into Track mode.
13.64606 INFO Goes into Escape mode.
13.67917 INFO Goes into Track mode.
13.6792 INFO Goes into Escape mode.
13.69599 INFO Goes into Track mode.
13.69601 INFO Goes into Escape mode.
13.71231 INFO Goes into Track mode.
13.71233 INFO Goes into Escape mode.
13.72886 INFO Goes into Track mode.
13.72888 INFO Goes into Escape mode.
13.74543 INFO Goes into Track mode.
13.74544 INFO Goes into Escape mode.
13.77853 INFO Goes into Track mode.
13.77861 INFO Goes into Escape mode.
13.79512 INFO Goes into Track mode.
13.79514 INFO Goes into Escape mode.
13.81173 INFO Goes into Track mode.
13.81175 INFO Goes into Escape mode.
13.82824 INFO Goes into Track mode.
13.82825 INFO Goes into Escape mode.
13.84481 INFO Goes into Track mode.
13.84482 INFO Goes into Escape mode.
13.87797 INFO Goes into Track mode.
13.87799 INFO Goes into Escape mode.
13.89453 INFO Goes into Track mode.
13.89455 INFO Goes into Escape mode.
13.91109 INFO Goes into Track mode.
13.91111 INFO Goes into Escape mode.
13.92765 INFO Goes into Track mode.
13.92767 INFO Goes into Escape mode.
13.94419 INFO Goes into Track mode.
13.94421 INFO Goes into Escape mode.
13.97734 INFO Goes into Track mode.
13.97736 INFO Goes into Escape mode.
13.99391 INFO Goes into Track mode.
13.99393 INFO Goes into Escape mode.
14.01047 INFO Goes into Track mode.
14.01048 INFO Goes into Escape mode.
14.02728 INFO Goes into Track mode.
14.02729 INFO Goes into Escape mode.
14.06017 INFO Goes into Track mode.
14.06018 INFO Goes into Escape mode.
14.07674 INFO Goes into Track mode.
14.07676 INFO Goes into Escape mode.
14.09331 INFO Goes into Track mode.
14.09333 INFO Goes into Escape mode.
14.10987 INFO Goes into Track mode.
14.10989 INFO Goes into Escape mode.
14.12643 INFO Goes into Track mode.
14.12645 INFO Goes into Escape mode.
14.15957 INFO Goes into Track mode.
14.15959 INFO Goes into Escape mode.
14.17614 INFO Goes into Track mode.
14.17616 INFO Goes into Escape mode.
14.19298 INFO Goes into Track mode.
14.193 INFO Goes into Escape mode.
14.20926 INFO Goes into Track mode.
14.20928 INFO Goes into Escape mode.
14.22583 INFO Goes into Track mode.
14.22584 INFO Goes into Escape mode.
14.25902 INFO Goes into Track mode.
14.25904 INFO Goes into Escape mode.
14.27555 INFO Goes into Track mode.
14.27557 INFO Goes into Escape mode.
14.29211 INFO Goes into Track mode.
14.29212 INFO Goes into Escape mode.
14.30874 INFO Goes into Track mode.
14.30876 INFO Goes into Escape mode.
