Time : 2/2/2017 1:58:06 AM
1.483169 INFO Goes into Track mode.
3.67681 INFO Goes into Escape mode.
3.693454 INFO Goes into Track mode.
3.693467 INFO Goes into Escape mode.
3.709944 INFO Goes into Track mode.
3.709955 INFO Goes into Escape mode.
3.743129 INFO Goes into Track mode.
3.743142 INFO Goes into Escape mode.
3.759867 INFO Goes into Track mode.
3.759879 INFO Goes into Escape mode.
3.776294 INFO Goes into Track mode.
3.776306 INFO Goes into Escape mode.
3.792852 INFO Goes into Track mode.
3.792865 INFO Goes into Escape mode.
3.809334 INFO Goes into Track mode.
3.809345 INFO Goes into Escape mode.
3.842472 INFO Goes into Track mode.
3.842484 INFO Goes into Escape mode.
3.859139 INFO Goes into Track mode.
3.85915 INFO Goes into Escape mode.
3.87574 INFO Goes into Track mode.
3.875752 INFO Goes into Escape mode.
3.89223 INFO Goes into Track mode.
3.892243 INFO Goes into Escape mode.
3.925598 INFO Goes into Track mode.
3.92561 INFO Goes into Escape mode.
3.942029 INFO Goes into Track mode.
3.94204 INFO Goes into Escape mode.
3.958638 INFO Goes into Track mode.
3.95865 INFO Goes into Escape mode.
3.975079 INFO Goes into Track mode.
3.975091 INFO Goes into Escape mode.
3.991701 INFO Goes into Track mode.
3.991714 INFO Goes into Escape mode.
4.024841 INFO Goes into Track mode.
4.024853 INFO Goes into Escape mode.
4.041369 INFO Goes into Track mode.
4.041381 INFO Goes into Escape mode.
4.057971 INFO Goes into Track mode.
4.057983 INFO Goes into Escape mode.
4.074547 INFO Goes into Track mode.
4.074559 INFO Goes into Escape mode.
4.091299 INFO Goes into Track mode.
4.091311 INFO Goes into Escape mode.
4.124222 INFO Goes into Track mode.
4.124244 INFO Goes into Escape mode.
4.140864 INFO Goes into Track mode.
4.140876 INFO Goes into Escape mode.
4.1574 INFO Goes into Track mode.
4.157412 INFO Goes into Escape mode.
4.173901 INFO Goes into Track mode.
4.173913 INFO Goes into Escape mode.
4.190425 INFO Goes into Track mode.
4.190436 INFO Goes into Escape mode.
4.223574 INFO Goes into Track mode.
4.223589 INFO Goes into Escape mode.
4.240212 INFO Goes into Track mode.
4.240224 INFO Goes into Escape mode.
4.256905 INFO Goes into Track mode.
4.256926 INFO Goes into Escape mode.
4.273298 INFO Goes into Track mode.
4.27331 INFO Goes into Escape mode.
4.289933 INFO Goes into Track mode.
4.289945 INFO Goes into Escape mode.
4.323072 INFO Goes into Track mode.
4.323089 INFO Goes into Escape mode.
4.339596 INFO Goes into Track mode.
4.339608 INFO Goes into Escape mode.
4.35619 INFO Goes into Track mode.
4.356202 INFO Goes into Escape mode.
4.372715 INFO Goes into Track mode.
4.372727 INFO Goes into Escape mode.
4.38936 INFO Goes into Track mode.
4.389377 INFO Goes into Escape mode.
4.422606 INFO Goes into Track mode.
4.42262 INFO Goes into Escape mode.
4.439075 INFO Goes into Track mode.
4.439087 INFO Goes into Escape mode.
4.455503 INFO Goes into Track mode.
4.455515 INFO Goes into Escape mode.
4.472141 INFO Goes into Track mode.
4.472153 INFO Goes into Escape mode.
4.505254 INFO Goes into Track mode.
4.505267 INFO Goes into Escape mode.
4.521759 INFO Goes into Track mode.
4.52177 INFO Goes into Escape mode.
4.538396 INFO Goes into Track mode.
4.538408 INFO Goes into Escape mode.
4.55498 INFO Goes into Track mode.
4.554993 INFO Goes into Escape mode.
4.57166 INFO Goes into Track mode.
4.571672 INFO Goes into Escape mode.
4.604608 INFO Goes into Track mode.
4.60462 INFO Goes into Escape mode.
4.621225 INFO Goes into Track mode.
4.621237 INFO Goes into Escape mode.
