Time : 2/5/2017 12:06:35 AM
14.01167 INFO Has hit NightHunter.
14.01169 INFO Has hit NightHunter.
16.33235 INFO Has hit NightHunter.
18.27048 INFO Has hit NightHunter.
18.2705 INFO Has hit NightHunter.
19.51432 INFO Has hit NightHunter.
19.66285 INFO Has hit NightHunter.
21.84936 INFO Has hit NightHunter.
21.84938 INFO Has hit NightHunter.
22.30033 INFO Has hit NightHunter.
25.40985 INFO Has hit NightHunter.
27.37193 INFO Has hit NightHunter.
29.10292 INFO Has hit NightHunter.
34.42152 INFO Has hit NightHunter.
35.83774 INFO Has hit NightHunter.
37.49136 INFO Has hit NightHunter.
41.8279 INFO Has hit NightHunter.
41.84406 INFO Has hit NightHunter.
44.39115 INFO Has hit NightHunter.
44.39117 INFO Has hit NightHunter.
46.37194 INFO Has hit NightHunter.
46.37196 INFO Has hit NightHunter.
70.22538 INFO Has hit NightHunter.
74.21731 INFO Has hit NightHunter.
74.39936 INFO Has hit NightHunter.
75.16159 INFO Has hit NightHunter.
75.16161 INFO Has hit NightHunter.
75.34385 INFO Has hit NightHunter.
75.8243 INFO Has hit NightHunter.
75.82432 INFO Has hit NightHunter.
77.3323 INFO Has hit NightHunter.
81.62805 INFO Has hit NightHunter.
84.04655 INFO Has hit NightHunter.
84.04657 INFO Has hit NightHunter.
85.65803 INFO Has hit NightHunter.
Time : 2/5/2017 12:07:59 AM logfile now closed.
