Time : 2/2/2017 1:58:06 AM
1.484468 INFO Goes into Track mode.
6.81768 INFO Goes into Escape mode.
6.834256 INFO Goes into Track mode.
6.834269 INFO Goes into Escape mode.
6.850779 INFO Goes into Track mode.
6.850791 INFO Goes into Escape mode.
6.884134 INFO Goes into Track mode.
6.884145 INFO Goes into Escape mode.
6.900528 INFO Goes into Track mode.
6.900548 INFO Goes into Escape mode.
6.917101 INFO Goes into Track mode.
6.917115 INFO Goes into Escape mode.
6.933653 INFO Goes into Track mode.
6.933665 INFO Goes into Escape mode.
6.950161 INFO Goes into Track mode.
6.950172 INFO Goes into Escape mode.
6.983284 INFO Goes into Track mode.
6.983296 INFO Goes into Escape mode.
6.999916 INFO Goes into Track mode.
6.999928 INFO Goes into Escape mode.
7.016438 INFO Goes into Track mode.
7.016448 INFO Goes into Escape mode.
7.033289 INFO Goes into Track mode.
7.033301 INFO Goes into Escape mode.
7.049807 INFO Goes into Track mode.
7.049819 INFO Goes into Escape mode.
7.082747 INFO Goes into Track mode.
7.08276 INFO Goes into Escape mode.
7.099317 INFO Goes into Track mode.
7.099329 INFO Goes into Escape mode.
7.100063 INFO Has hit NightHunter_AI_A.
7.115796 INFO Goes into Track mode.
7.115807 INFO Goes into Escape mode.
7.132452 INFO Goes into Track mode.
7.132463 INFO Goes into Escape mode.
7.165551 INFO Goes into Track mode.
7.165564 INFO Goes into Escape mode.
7.182174 INFO Goes into Track mode.
7.182185 INFO Goes into Escape mode.
7.198876 INFO Goes into Track mode.
7.198888 INFO Goes into Escape mode.
7.215271 INFO Goes into Track mode.
7.215282 INFO Goes into Escape mode.
7.231939 INFO Goes into Track mode.
7.231951 INFO Goes into Escape mode.
7.264988 INFO Goes into Track mode.
7.265 INFO Goes into Escape mode.
7.281443 INFO Goes into Track mode.
7.281455 INFO Goes into Escape mode.
7.298092 INFO Goes into Track mode.
7.298104 INFO Goes into Escape mode.
7.314609 INFO Goes into Track mode.
7.31462 INFO Goes into Escape mode.
7.331245 INFO Goes into Track mode.
7.331258 INFO Goes into Escape mode.
7.364563 INFO Goes into Track mode.
7.364575 INFO Goes into Escape mode.
7.380973 INFO Goes into Track mode.
7.380985 INFO Goes into Escape mode.
7.397493 INFO Goes into Track mode.
7.397505 INFO Goes into Escape mode.
7.414133 INFO Goes into Track mode.
7.414145 INFO Goes into Escape mode.
7.430634 INFO Goes into Track mode.
7.430645 INFO Goes into Escape mode.
7.463757 INFO Goes into Track mode.
7.463769 INFO Goes into Escape mode.
7.480426 INFO Goes into Track mode.
7.480438 INFO Goes into Escape mode.
7.496948 INFO Goes into Track mode.
7.496961 INFO Goes into Escape mode.
7.513525 INFO Goes into Track mode.
7.513536 INFO Goes into Escape mode.
7.530313 INFO Goes into Track mode.
7.530325 INFO Goes into Escape mode.
7.563225 INFO Goes into Track mode.
7.56324 INFO Goes into Escape mode.
7.579796 INFO Goes into Track mode.
7.579807 INFO Goes into Escape mode.
7.596358 INFO Goes into Track mode.
7.596369 INFO Goes into Escape mode.
7.612831 INFO Goes into Track mode.
7.612843 INFO Goes into Escape mode.
7.629473 INFO Goes into Track mode.
7.629485 INFO Goes into Escape mode.
7.662588 INFO Goes into Track mode.
7.6626 INFO Goes into Escape mode.
7.679189 INFO Goes into Track mode.
7.679201 INFO Goes into Escape mode.
7.695888 INFO Goes into Track mode.
7.695902 INFO Goes into Escape mode.
7.712303 INFO Goes into Track mode.
7.712315 INFO Goes into Escape mode.
7.745481 INFO Goes into Track mode.
7.745494 INFO Goes into Escape mode.
7.762038 INFO Goes into Track mode.
7.76205 INFO Goes into Escape mode.
7.778603 INFO Goes into Track mode.
7.778615 INFO Goes into Escape mode.
7.795104 INFO Goes into Track mode.
7.795115 INFO Goes into Escape mode.
7.811808 INFO Goes into Track mode.
7.81182 INFO Goes into Escape mode.
7.844877 INFO Goes into Track mode.
7.844889 INFO Goes into Escape mode.
7.861616 INFO Goes into Track mode.
7.861628 INFO Goes into Escape mode.
7.877939 INFO Goes into Track mode.
7.877951 INFO Goes into Escape mode.
7.89481 INFO Goes into Track mode.
7.894823 INFO Goes into Escape mode.
7.911148 INFO Goes into Track mode.
7.91116 INFO Goes into Escape mode.
7.944185 INFO Goes into Track mode.
