Time : 2/2/2017 4:02:55 AM
1.492145 INFO Goes into Track mode.
5.906218 INFO Goes into Dodge mode.
6.469258 INFO Goes into Track mode.
6.685214 INFO Has hit obstacle
8.92107 INFO Goes into Escape mode.
8.93766 INFO Goes into Track mode.
8.937674 INFO Goes into Escape mode.
8.970822 INFO Goes into Track mode.
8.970835 INFO Goes into Escape mode.
8.987355 INFO Goes into Track mode.
8.987367 INFO Goes into Escape mode.
9.003912 INFO Goes into Track mode.
9.003924 INFO Goes into Escape mode.
9.020583 INFO Goes into Track mode.
9.020595 INFO Goes into Escape mode.
9.037077 INFO Goes into Track mode.
9.037089 INFO Goes into Escape mode.
9.070212 INFO Goes into Track mode.
9.070225 INFO Goes into Escape mode.
9.086794 INFO Goes into Track mode.
9.086806 INFO Goes into Escape mode.
9.103323 INFO Goes into Track mode.
9.103338 INFO Goes into Escape mode.
9.119875 INFO Goes into Track mode.
9.119887 INFO Goes into Escape mode.
9.136464 INFO Goes into Track mode.
9.136477 INFO Goes into Escape mode.
9.169593 INFO Goes into Track mode.
9.169605 INFO Goes into Escape mode.
9.186317 INFO Goes into Track mode.
9.186338 INFO Goes into Escape mode.
9.202814 INFO Goes into Track mode.
9.202827 INFO Goes into Escape mode.
9.219306 INFO Goes into Track mode.
9.219317 INFO Goes into Escape mode.
9.252439 INFO Goes into Track mode.
9.252451 INFO Goes into Escape mode.
9.269011 INFO Goes into Track mode.
9.269025 INFO Goes into Escape mode.
9.28557 INFO Goes into Track mode.
9.285583 INFO Goes into Escape mode.
9.302127 INFO Goes into Track mode.
9.30214 INFO Goes into Escape mode.
9.318685 INFO Goes into Track mode.
9.318697 INFO Goes into Escape mode.
9.351849 INFO Goes into Track mode.
9.351862 INFO Goes into Escape mode.
9.368372 INFO Goes into Track mode.
9.368383 INFO Goes into Escape mode.
9.384971 INFO Goes into Track mode.
9.384983 INFO Goes into Escape mode.
9.401856 INFO Goes into Track mode.
9.401872 INFO Goes into Escape mode.
9.418117 INFO Goes into Track mode.
9.418129 INFO Goes into Escape mode.
9.451243 INFO Goes into Track mode.
9.451257 INFO Goes into Escape mode.
9.467809 INFO Goes into Track mode.
9.467821 INFO Goes into Escape mode.
9.484643 INFO Goes into Track mode.
9.484655 INFO Goes into Escape mode.
9.501017 INFO Goes into Track mode.
9.501039 INFO Goes into Escape mode.
9.517581 INFO Goes into Track mode.
9.517592 INFO Goes into Escape mode.
9.550671 INFO Goes into Track mode.
9.550683 INFO Goes into Escape mode.
9.567182 INFO Goes into Track mode.
9.567194 INFO Goes into Escape mode.
9.583757 INFO Goes into Track mode.
9.583771 INFO Goes into Escape mode.
9.600302 INFO Goes into Track mode.
9.600313 INFO Goes into Escape mode.
9.616956 INFO Goes into Track mode.
9.616972 INFO Goes into Escape mode.
9.650029 INFO Goes into Track mode.
9.650043 INFO Goes into Escape mode.
9.666599 INFO Goes into Track mode.
9.666611 INFO Goes into Escape mode.
9.683294 INFO Goes into Track mode.
9.683308 INFO Goes into Escape mode.
9.699994 INFO Goes into Track mode.
9.700006 INFO Goes into Escape mode.
9.716301 INFO Goes into Track mode.
9.716311 INFO Goes into Escape mode.
9.749411 INFO Goes into Track mode.
9.749423 INFO Goes into Escape mode.
9.766026 INFO Goes into Track mode.
9.766039 INFO Goes into Escape mode.
9.782576 INFO Goes into Track mode.
9.78259 INFO Goes into Escape mode.
9.799106 INFO Goes into Track mode.
9.799118 INFO Goes into Escape mode.
9.832273 INFO Goes into Track mode.
9.832286 INFO Goes into Escape mode.
9.84894 INFO Goes into Track mode.
