Time : 2/2/2017 3:59:04 AM
1.441259 INFO Goes into Track mode.
4.352624 INFO Goes into Escape mode.
4.36944 INFO Goes into Track mode.
4.36946 INFO Goes into Escape mode.
4.385763 INFO Goes into Track mode.
4.38579 INFO Goes into Escape mode.
4.418884 INFO Goes into Track mode.
4.418903 INFO Goes into Escape mode.
4.435459 INFO Goes into Track mode.
4.43548 INFO Goes into Escape mode.
4.46032 INFO Goes into Track mode.
4.460342 INFO Goes into Escape mode.
4.476686 INFO Goes into Track mode.
4.476707 INFO Goes into Escape mode.
4.493244 INFO Goes into Track mode.
4.493264 INFO Goes into Escape mode.
4.509799 INFO Goes into Track mode.
4.509822 INFO Goes into Escape mode.
4.526385 INFO Goes into Track mode.
4.526407 INFO Goes into Escape mode.
4.559486 INFO Goes into Track mode.
4.559506 INFO Goes into Escape mode.
4.576098 INFO Goes into Track mode.
4.576121 INFO Goes into Escape mode.
4.592644 INFO Goes into Track mode.
4.592663 INFO Goes into Escape mode.
4.609207 INFO Goes into Track mode.
4.60923 INFO Goes into Escape mode.
4.625756 INFO Goes into Track mode.
4.625775 INFO Goes into Escape mode.
4.658902 INFO Goes into Track mode.
4.658922 INFO Goes into Escape mode.
4.675464 INFO Goes into Track mode.
4.675484 INFO Goes into Escape mode.
4.692331 INFO Goes into Track mode.
4.692352 INFO Goes into Escape mode.
4.708596 INFO Goes into Track mode.
4.708616 INFO Goes into Escape mode.
4.725155 INFO Goes into Track mode.
4.725174 INFO Goes into Escape mode.
4.758301 INFO Goes into Track mode.
4.758319 INFO Goes into Escape mode.
4.774859 INFO Goes into Track mode.
4.774879 INFO Goes into Escape mode.
4.791425 INFO Goes into Track mode.
4.791445 INFO Goes into Escape mode.
4.808018 INFO Goes into Track mode.
4.80804 INFO Goes into Escape mode.
4.824558 INFO Goes into Track mode.
4.824577 INFO Goes into Escape mode.
4.857915 INFO Goes into Track mode.
4.857934 INFO Goes into Escape mode.
4.87429 INFO Goes into Track mode.
4.874312 INFO Goes into Escape mode.
4.890821 INFO Goes into Track mode.
4.890839 INFO Goes into Escape mode.
4.907393 INFO Goes into Track mode.
4.907412 INFO Goes into Escape mode.
4.924016 INFO Goes into Track mode.
4.924042 INFO Goes into Escape mode.
4.957095 INFO Goes into Track mode.
4.957115 INFO Goes into Escape mode.
4.973704 INFO Goes into Track mode.
4.973724 INFO Goes into Escape mode.
4.990229 INFO Goes into Track mode.
4.990248 INFO Goes into Escape mode.
5.006793 INFO Goes into Track mode.
5.006813 INFO Goes into Escape mode.
5.039931 INFO Goes into Track mode.
5.03995 INFO Goes into Escape mode.
5.056479 INFO Goes into Track mode.
5.056497 INFO Goes into Escape mode.
5.073083 INFO Goes into Track mode.
5.073103 INFO Goes into Escape mode.
5.089622 INFO Goes into Track mode.
5.089641 INFO Goes into Escape mode.
5.106191 INFO Goes into Track mode.
5.106211 INFO Goes into Escape mode.
5.139347 INFO Goes into Track mode.
5.139383 INFO Goes into Escape mode.
5.155899 INFO Goes into Track mode.
5.155919 INFO Goes into Escape mode.
5.172484 INFO Goes into Track mode.
5.172506 INFO Goes into Escape mode.
5.189268 INFO Goes into Track mode.
5.18929 INFO Goes into Escape mode.
5.205602 INFO Goes into Track mode.
5.205622 INFO Goes into Escape mode.
5.238723 INFO Goes into Track mode.
5.238743 INFO Goes into Escape mode.
5.255292 INFO Goes into Track mode.
5.255312 INFO Goes into Escape mode.
5.271855 INFO Goes into Track mode.
5.271875 INFO Goes into Escape mode.
5.288431 INFO Goes into Track mode.
5.288451 INFO Goes into Escape mode.
5.305077 INFO Goes into Track mode.
5.305101 INFO Goes into Escape mode.
5.33812 INFO Goes into Track mode.
5.33814 INFO Goes into Escape mode.
5.354937 INFO Goes into Track mode.
5.354956 INFO Goes into Escape mode.
5.371272 INFO Goes into Track mode.
5.371294 INFO Goes into Escape mode.
5.387825 INFO Goes into Track mode.
5.387846 INFO Goes into Escape mode.
5.404405 INFO Goes into Track mode.
5.404426 INFO Goes into Escape mode.
5.437528 INFO Goes into Track mode.
5.437616 INFO Goes into Escape mode.
5.454114 INFO Goes into Track mode.
5.454136 INFO Goes into Escape mode.
5.470722 INFO Goes into Track mode.
5.470745 INFO Goes into Escape mode.
5.487231 INFO Goes into Track mode.
5.487252 INFO Goes into Escape mode.
5.520667 INFO Goes into Track mode.
5.520689 INFO Goes into Escape mode.
5.536956 INFO Goes into Track mode.
5.536975 INFO Goes into Escape mode.
5.553487 INFO Goes into Track mode.
5.553507 INFO Goes into Escape mode.
5.570058 INFO Goes into Track mode.
5.570076 INFO Goes into Escape mode.
5.586641 INFO Goes into Track mode.
5.58666 INFO Goes into Escape mode.
5.619768 INFO Goes into Track mode.
5.619788 INFO Goes into Escape mode.
5.63633 INFO Goes into Track mode.
5.63635 INFO Goes into Escape mode.
5.652913 INFO Goes into Track mode.
5.652931 INFO Goes into Escape mode.
5.669491 INFO Goes into Track mode.
5.669511 INFO Goes into Escape mode.
5.686296 INFO Goes into Track mode.
5.686316 INFO Goes into Escape mode.
5.719171 INFO Goes into Track mode.
5.719191 INFO Goes into Escape mode.
5.735733 INFO Goes into Track mode.
5.735751 INFO Goes into Escape mode.
5.752316 INFO Goes into Track mode.
5.752333 INFO Goes into Escape mode.
5.768866 INFO Goes into Track mode.
5.768885 INFO Goes into Escape mode.
5.785448 INFO Goes into Track mode.
5.785467 INFO Goes into Escape mode.
5.818624 INFO Goes into Track mode.
5.818644 INFO Goes into Escape mode.
5.835137 INFO Goes into Track mode.
5.835156 INFO Goes into Escape mode.
5.851943 INFO Goes into Track mode.
17.27483 INFO Goes into Escape mode.
17.29169 INFO Goes into Track mode.
17.29172 INFO Goes into Escape mode.
17.30796 INFO Goes into Track mode.
17.30798 INFO Goes into Escape mode.
17.3245 INFO Goes into Track mode.
17.32452 INFO Goes into Escape mode.
17.35762 INFO Goes into Track mode.
17.35764 INFO Goes into Escape mode.
17.38353 INFO Goes into Track mode.
17.38355 INFO Goes into Escape mode.
17.40012 INFO Goes into Track mode.
17.40014 INFO Goes into Escape mode.
17.41666 INFO Goes into Track mode.
17.41668 INFO Goes into Escape mode.
17.43321 INFO Goes into Track mode.
17.43323 INFO Goes into Escape mode.
17.44979 INFO Goes into Track mode.
17.44982 INFO Goes into Escape mode.
17.46663 INFO Goes into Track mode.
17.46666 INFO Goes into Escape mode.
17.49951 INFO Goes into Track mode.
17.49953 INFO Goes into Escape mode.
17.51606 INFO Goes into Track mode.
17.51608 INFO Goes into Escape mode.
17.53279 INFO Goes into Track mode.
17.53281 INFO Goes into Escape mode.
17.54937 INFO Goes into Track mode.
17.54939 INFO Goes into Escape mode.
17.56592 INFO Goes into Track mode.
17.56594 INFO Goes into Escape mode.
17.59906 INFO Goes into Track mode.
17.59908 INFO Goes into Escape mode.
17.61594 INFO Goes into Track mode.
17.61596 INFO Goes into Escape mode.
17.6322 INFO Goes into Track mode.
17.63222 INFO Goes into Escape mode.
17.64876 INFO Goes into Track mode.
17.64879 INFO Goes into Escape mode.
17.66532 INFO Goes into Track mode.
17.66534 INFO Goes into Escape mode.
17.69846 INFO Goes into Track mode.
17.69848 INFO Goes into Escape mode.
17.71502 INFO Goes into Track mode.
17.71503 INFO Goes into Escape mode.
17.73158 INFO Goes into Track mode.
17.7316 INFO Goes into Escape mode.
17.74815 INFO Goes into Track mode.
17.74817 INFO Goes into Escape mode.
17.76472 INFO Goes into Track mode.
17.76474 INFO Goes into Escape mode.
17.79787 INFO Goes into Track mode.
17.79789 INFO Goes into Escape mode.
17.81443 INFO Goes into Track mode.
17.81446 INFO Goes into Escape mode.
17.83099 INFO Goes into Track mode.
17.83101 INFO Goes into Escape mode.
17.84756 INFO Goes into Track mode.
17.84758 INFO Goes into Escape mode.
17.86411 INFO Goes into Track mode.
17.86413 INFO Goes into Escape mode.
17.89725 INFO Goes into Track mode.
17.89728 INFO Goes into Escape mode.
17.91382 INFO Goes into Track mode.
17.91384 INFO Goes into Escape mode.
17.93037 INFO Goes into Track mode.
17.93039 INFO Goes into Escape mode.
17.94733 INFO Goes into Track mode.
17.94741 INFO Goes into Escape mode.
17.98009 INFO Goes into Track mode.
17.98011 INFO Goes into Escape mode.
17.99666 INFO Goes into Track mode.
17.99668 INFO Goes into Escape mode.
18.01324 INFO Goes into Track mode.
18.01327 INFO Goes into Escape mode.
18.02978 INFO Goes into Track mode.
18.0298 INFO Goes into Escape mode.
18.04635 INFO Goes into Track mode.
18.04637 INFO Goes into Escape mode.
18.07952 INFO Goes into Track mode.
18.07953 INFO Goes into Escape mode.
18.09605 INFO Goes into Track mode.
18.09607 INFO Goes into Escape mode.
18.11293 INFO Goes into Track mode.
18.11295 INFO Goes into Escape mode.
18.12918 INFO Goes into Track mode.
18.12919 INFO Goes into Escape mode.
18.14576 INFO Goes into Track mode.
18.14578 INFO Goes into Escape mode.
18.17888 INFO Goes into Track mode.
18.1789 INFO Goes into Escape mode.
18.19546 INFO Goes into Track mode.
18.19548 INFO Goes into Escape mode.
18.21202 INFO Goes into Track mode.
18.21204 INFO Goes into Escape mode.
18.22858 INFO Goes into Track mode.
18.2286 INFO Goes into Escape mode.
18.24514 INFO Goes into Track mode.
18.24516 INFO Goes into Escape mode.
18.27854 INFO Goes into Track mode.
18.27857 INFO Goes into Escape mode.
18.29487 INFO Goes into Track mode.
18.29489 INFO Goes into Escape mode.
18.3115 INFO Goes into Track mode.
18.31153 INFO Goes into Escape mode.
18.32798 INFO Goes into Track mode.
18.328 INFO Goes into Escape mode.
18.34612 INFO Goes into Track mode.
18.34614 INFO Goes into Escape mode.
18.37928 INFO Goes into Track mode.
18.3793 INFO Goes into Escape mode.
18.39584 INFO Goes into Track mode.
18.39586 INFO Goes into Escape mode.
18.41241 INFO Goes into Track mode.
18.41243 INFO Goes into Escape mode.
18.42921 INFO Goes into Track mode.
18.42923 INFO Goes into Escape mode.
18.44559 INFO Goes into Track mode.
18.4456 INFO Goes into Escape mode.
18.47866 INFO Goes into Track mode.
18.47868 INFO Goes into Escape mode.
18.49524 INFO Goes into Track mode.
18.49526 INFO Goes into Escape mode.
18.5118 INFO Goes into Track mode.
18.51183 INFO Goes into Escape mode.
18.52839 INFO Goes into Track mode.
18.52841 INFO Goes into Escape mode.
18.54493 INFO Goes into Track mode.
18.54495 INFO Goes into Escape mode.
18.57807 INFO Goes into Track mode.
18.57809 INFO Goes into Escape mode.
18.59489 INFO Goes into Track mode.
18.59491 INFO Goes into Escape mode.
18.61121 INFO Goes into Track mode.
18.61123 INFO Goes into Escape mode.
18.62776 INFO Goes into Track mode.
18.62778 INFO Goes into Escape mode.
18.64433 INFO Goes into Track mode.
18.64436 INFO Goes into Escape mode.
18.67746 INFO Goes into Track mode.
18.67748 INFO Goes into Escape mode.
18.69406 INFO Goes into Track mode.
18.69408 INFO Goes into Escape mode.
18.71064 INFO Goes into Track mode.
18.71066 INFO Goes into Escape mode.
18.72716 INFO Goes into Track mode.
18.72718 INFO Goes into Escape mode.
18.76056 INFO Goes into Track mode.
18.76057 INFO Goes into Escape mode.
18.77687 INFO Goes into Track mode.
18.77689 INFO Goes into Escape mode.
18.79345 INFO Goes into Track mode.
18.79347 INFO Goes into Escape mode.
18.81002 INFO Goes into Track mode.
18.81004 INFO Goes into Escape mode.
18.82657 INFO Goes into Track mode.
18.82659 INFO Goes into Escape mode.
18.85969 INFO Goes into Track mode.
18.85971 INFO Goes into Escape mode.
18.87627 INFO Goes into Track mode.
18.87629 INFO Goes into Escape mode.
18.89282 INFO Goes into Track mode.
18.89284 INFO Goes into Escape mode.
18.90939 INFO Goes into Track mode.
18.90941 INFO Goes into Escape mode.
18.92621 INFO Goes into Track mode.
18.92623 INFO Goes into Escape mode.
18.9591 INFO Goes into Track mode.
18.95911 INFO Goes into Escape mode.
18.97568 INFO Goes into Track mode.
18.9757 INFO Goes into Escape mode.
18.99222 INFO Goes into Track mode.
18.99224 INFO Goes into Escape mode.
19.00963 INFO Goes into Track mode.
19.00965 INFO Goes into Escape mode.
19.02623 INFO Goes into Track mode.
19.02625 INFO Goes into Escape mode.
19.05933 INFO Goes into Track mode.
19.05935 INFO Goes into Escape mode.
19.07593 INFO Goes into Track mode.
19.07595 INFO Goes into Escape mode.
19.09269 INFO Goes into Track mode.
19.09271 INFO Goes into Escape mode.
19.10911 INFO Goes into Track mode.
19.10914 INFO Goes into Escape mode.
19.1256 INFO Goes into Track mode.
19.12562 INFO Goes into Escape mode.
19.15873 INFO Goes into Track mode.
19.15875 INFO Goes into Escape mode.
19.17531 INFO Goes into Track mode.
19.17533 INFO Goes into Escape mode.
19.19187 INFO Goes into Track mode.
19.19189 INFO Goes into Escape mode.
19.20844 INFO Goes into Track mode.
19.20846 INFO Goes into Escape mode.
19.22501 INFO Goes into Track mode.
19.22502 INFO Goes into Escape mode.
19.25838 INFO Goes into Track mode.
19.2584 INFO Goes into Escape mode.
19.27474 INFO Goes into Track mode.
19.27476 INFO Goes into Escape mode.
19.29128 INFO Goes into Track mode.
19.2913 INFO Goes into Escape mode.
19.30789 INFO Goes into Track mode.
19.30791 INFO Goes into Escape mode.
19.32441 INFO Goes into Track mode.
19.32443 INFO Goes into Escape mode.
19.35753 INFO Goes into Track mode.
19.35756 INFO Goes into Escape mode.
19.37411 INFO Goes into Track mode.
19.37413 INFO Goes into Escape mode.
19.39069 INFO Goes into Track mode.
19.39071 INFO Goes into Escape mode.
19.40724 INFO Goes into Track mode.
19.40726 INFO Goes into Escape mode.
19.44038 INFO Goes into Track mode.
19.4404 INFO Goes into Escape mode.
19.45694 INFO Goes into Track mode.
19.45695 INFO Goes into Escape mode.
19.47351 INFO Goes into Track mode.
19.47353 INFO Goes into Escape mode.
19.49006 INFO Goes into Track mode.
19.49008 INFO Goes into Escape mode.
19.50712 INFO Goes into Track mode.
19.50714 INFO Goes into Escape mode.
19.54033 INFO Goes into Track mode.
19.54037 INFO Goes into Escape mode.
19.55685 INFO Goes into Track mode.
19.55687 INFO Goes into Escape mode.
19.5734 INFO Goes into Track mode.
19.57342 INFO Goes into Escape mode.
19.59019 INFO Goes into Track mode.
19.59021 INFO Goes into Escape mode.
19.60661 INFO Goes into Track mode.
19.60663 INFO Goes into Escape mode.
19.63965 INFO Goes into Track mode.
19.63967 INFO Goes into Escape mode.
19.65621 INFO Goes into Track mode.
19.65623 INFO Goes into Escape mode.
19.67279 INFO Goes into Track mode.
19.67281 INFO Goes into Escape mode.
19.68935 INFO Goes into Track mode.
19.68937 INFO Goes into Escape mode.
19.70593 INFO Goes into Track mode.
19.70595 INFO Goes into Escape mode.
19.73905 INFO Goes into Track mode.
19.73907 INFO Goes into Escape mode.
19.75587 INFO Goes into Track mode.
19.75589 INFO Goes into Escape mode.
19.7722 INFO Goes into Track mode.
20.32079 INFO Goes into Dodge mode.
21.44928 INFO Goes into Track mode.
25.15754 INFO Goes into Escape mode.
25.1741 INFO Goes into Track mode.
25.17412 INFO Goes into Escape mode.
25.19094 INFO Goes into Track mode.
